nation n##n.n_nationkey,=,0#1
nation n##n.n_nationkey,=,2#1
nation n##n.n_nationkey,=,4#1
nation n##n.n_nationkey,=,6#1
nation n##n.n_nationkey,=,8#1
nation n##n.n_nationkey,=,10#1
nation n##n.n_nationkey,=,12#1
nation n##n.n_nationkey,=,14#1
nation n##n.n_nationkey,=,16#1
nation n##n.n_nationkey,=,18#1
nation n##n.n_nationkey,=,20#1
nation n##n.n_nationkey,=,22#1
nation n##n.n_nationkey,=,24#1
region r##r.r_regionkey,=,0#1
region r##r.r_regionkey,=,1#1
region r##r.r_regionkey,=,2#1
region r##r.r_regionkey,=,3#1
region r##r.r_regionkey,=,4#1
region r##r.r_regionkey,=,0#1
region r##r.r_regionkey,=,1#1
region r##r.r_regionkey,=,2#1
region r##r.r_regionkey,=,3#1
region r##r.r_regionkey,=,4#1
nation n##n.n_nationkey,>,0#24
nation n##n.n_nationkey,>,2#22
nation n##n.n_nationkey,>,4#20
nation n##n.n_nationkey,>,6#18
nation n##n.n_nationkey,>,8#16
nation n##n.n_nationkey,>,10#14
nation n##n.n_nationkey,>,12#12
nation n##n.n_nationkey,>,14#10
nation n##n.n_nationkey,>,16#8
nation n##n.n_nationkey,>,18#6
nation n##n.n_nationkey,>,20#4
nation n##n.n_nationkey,>,22#2
nation n##n.n_nationkey,<,2#2
nation n##n.n_nationkey,<,4#4
nation n##n.n_nationkey,<,6#6
nation n##n.n_nationkey,<,8#8
nation n##n.n_nationkey,<,10#10
nation n##n.n_nationkey,<,12#12
nation n##n.n_nationkey,<,14#14
nation n##n.n_nationkey,<,16#16
nation n##n.n_nationkey,<,18#18
nation n##n.n_nationkey,<,20#20
nation n##n.n_nationkey,<,22#22
nation n##n.n_nationkey,<,24#24
lineitem l##l.l_quantity,=,5#119509
lineitem l##l.l_quantity,=,10#119700
lineitem l##l.l_quantity,=,15#120324
lineitem l##l.l_quantity,=,20#120114
lineitem l##l.l_quantity,=,25#120635
lineitem l##l.l_quantity,=,30#119671
lineitem l##l.l_quantity,=,35#120753
lineitem l##l.l_quantity,=,40#119977
lineitem l##l.l_quantity,=,45#119638
lineitem l##l.l_quantity,=,50#119846
supplier s##s.s_suppkey,<,10000,s.s_acctbal,<,4820.26#5237
supplier s##s.s_suppkey,<,25000,s.s_acctbal,<,4820.26#5237
supplier s##s.s_suppkey,<,40000,s.s_acctbal,<,4820.26#5237
supplier s##s.s_suppkey,<,55000,s.s_acctbal,<,4820.26#5237
supplier s##s.s_suppkey,<,70000,s.s_acctbal,<,4820.26#5237
