nation n##n.n_nationkey,=,7#1
region r##r.r_regionkey,=,1#1
region r##r.r_regionkey,=,3#1
part p##p.p_partkey,>,110786#89214
partsupp ps##ps.ps_availqty,<,1675,ps.ps_supplycost,=,380.55#1
partsupp ps##ps.ps_supplycost,>,459.97,ps.ps_availqty,=,6202#43
nation n##n.n_nationkey,>,6#18
nation n##n.n_nationkey,<,2#2
customer c##c.c_acctbal,<,3987.51#68270
partsupp ps##ps.ps_supplycost,<,210.3#167282
lineitem l##l.l_quantity,=,10#119700
supplier s##s.s_suppkey,<,78105,s.s_acctbal,<,4820.26#5237
region r##r.r_regionkey,>,2#2
nation n##n.n_nationkey,=,14#1
region r##r.r_regionkey,>,0#4
part p##p.p_retailprice,<,1525.26,p.p_partkey,>,139030,p.p_size,=,39#547
partsupp ps##ps.ps_availqty,<,5039,ps.ps_supplycost,=,58.87#7
nation n##n.n_nationkey,=,24#1
supplier s##s.s_acctbal,>,816.4#8362
orders o##o.o_orderdate,>,'1994-04-03'#988070
part p##p.p_retailprice,<,1799.33,p.p_size,<,8#22617
customer c##c.c_custkey,<,5515#5514
customer c##c.c_custkey,=,15434#1
customer c##c.c_custkey,<,18575#18574
customer c##c.c_acctbal,>,455.43,c.c_custkey,>,123908#22715
orders o##o.o_totalprice,>,326762.4,o.o_orderkey,>,825589#37823
region r##r.r_regionkey,=,1#1
region r##r.r_regionkey,=,3#1
region r##r.r_regionkey,=,4#1
lineitem l##l.l_quantity,=,5,l.l_commitdate,>,'1992-10-05'#108729
customer c##c.c_custkey,>,10419,c.c_acctbal,>,-98.18#128122
partsupp ps##ps.ps_availqty,=,4352,ps.ps_supplycost,<,131.75#8
part p##p.p_size,=,30,p.p_partkey,>,147586#1089
nation n##n.n_nationkey,>,8#16
partsupp ps##ps.ps_supplycost,=,741.49#6
orders o##o.o_orderkey,>,1250358,o.o_orderdate,>,'1992-05-27',o.o_totalprice,<,291296.53#1037059
customer c##c.c_custkey,<,146771#146770
partsupp ps##ps.ps_availqty,=,1772,ps.ps_supplycost,<,872.29#70
lineitem l##l.l_extendedprice,<,30519.78,l.l_shipdate,=,'1994-07-02'#1048
region r##r.r_regionkey,<,2#2
nation n##n.n_nationkey,>,16#8
nation n##n.n_nationkey,>,10#14
orders o##o.o_orderdate,>,'1994-02-17',o.o_orderkey,<,372342,o.o_totalprice,>,218085.15#15040
customer c##c.c_acctbal,>,9128.48,c.c_custkey,>,82292#5353
nation n##n.n_nationkey,>,13#11
partsupp ps##ps.ps_supplycost,=,421.03,ps.ps_availqty,<,2852#1
partsupp ps##ps.ps_supplycost,>,214.49,ps.ps_availqty,<,2781#174177
nation n##n.n_nationkey,=,24#1
lineitem l##l.l_shipdate,<,'1998-06-15'#5726228
nation n##n.n_nationkey,=,22#1
lineitem l##l.l_commitdate,=,'1993-05-12'#2527
lineitem l##l.l_shipdate,<,'1998-11-14',l.l_discount,>,0.09#545481
lineitem l##l.l_discount,=,0.07,l.l_shipdate,=,'1995-01-17'#233
partsupp ps##ps.ps_availqty,=,3789,ps.ps_supplycost,<,694.26#52
customer c##c.c_acctbal,<,2639.7#49794
partsupp ps##ps.ps_supplycost,>,747.77,ps.ps_availqty,>,9884#2359
region r##r.r_regionkey,=,3#1
supplier s##s.s_acctbal,<,2600.88#3235
region r##r.r_regionkey,>,0#4
region r##r.r_regionkey,=,0#1
supplier s##s.s_suppkey,<,87748#10000
nation n##n.n_nationkey,>,8#16
partsupp ps##ps.ps_availqty,=,5097#75
nation n##n.n_nationkey,>,21#3
customer c##c.c_acctbal,>,5604.53#59849
nation n##n.n_nationkey,>,13#11
partsupp ps##ps.ps_supplycost,=,849.73#5
lineitem l##l.l_shipdate,<,'1997-02-26'#4543415
orders o##o.o_orderkey,<,1525384,o.o_totalprice,<,106138.71#136094
part p##p.p_size,>,1,p.p_retailprice,>,1896.18#20268
nation n##n.n_nationkey,<,17#17
customer c##c.c_acctbal,>,4840.14,c.c_custkey,<,144282#67439
partsupp ps##ps.ps_supplycost,<,252.15,ps.ps_availqty,=,3156#24
partsupp ps##ps.ps_availqty,=,3546#75
lineitem l##l.l_quantity,>,19#3722913
region r##r.r_regionkey,>,2#2
orders o##o.o_orderdate,<,'1996-12-18',o.o_orderkey,<,4936907,o.o_totalprice,<,152759.58#493432
region r##r.r_regionkey,>,1#3
lineitem l##l.l_quantity,>,19,l.l_extendedprice,>,85960.81,l.l_shipdate,=,'1994-08-14'#58
nation n##n.n_nationkey,<,19#19
part p##p.p_partkey,>,79716,p.p_size,>,26#57740
part p##p.p_partkey,=,176764#1
region r##r.r_regionkey,=,3#1
lineitem l##l.l_extendedprice,<,96905.55,l.l_shipdate,<,'1995-11-26',l.l_discount,<,0.03#925059
nation n##n.n_nationkey,<,22#22
region r##r.r_regionkey,>,1#3
customer c##c.c_acctbal,>,-849.58#147903
nation n##n.n_nationkey,>,9#15
part p##p.p_size,=,30,p.p_retailprice,>,290.14#4127
customer c##c.c_custkey,<,108775#108774
partsupp ps##ps.ps_availqty,>,4892,ps.ps_supplycost,>,580.34#171283
orders o##o.o_totalprice,>,119478.89,o.o_orderkey,<,1959264#290865
orders o##o.o_totalprice,>,236540.83#281267
partsupp ps##ps.ps_supplycost,=,526.43#9
lineitem l##l.l_extendedprice,<,87093.43#5876161
supplier s##s.s_acctbal,<,2724.17#3344
orders o##o.o_orderkey,<,5257973,o.o_totalprice,>,443730.6,o.o_orderdate,<,'1998-01-25'#355
region r##r.r_regionkey,>,2#2
nation n##n.n_nationkey,>,9#15
region r##r.r_regionkey,=,2#1
partsupp ps##ps.ps_supplycost,=,531.64,ps.ps_availqty,>,2951#9
customer c##c.c_custkey,<,66579,c.c_acctbal,<,1808.59#17057
supplier s##s.s_acctbal,<,9864.17#9904
region r##r.r_regionkey,=,4#1
partsupp ps##ps.ps_availqty,>,4107#471818
supplier s##s.s_suppkey,<,57780#10000
region r##r.r_regionkey,=,2#1
partsupp ps##ps.ps_availqty,=,8838,ps.ps_supplycost,<,531.32#36
part p##p.p_size,<,19#72518
partsupp ps##ps.ps_supplycost,=,141.62#8
customer c##c.c_acctbal,<,-846.89,c.c_custkey,>,32399#1676
partsupp ps##ps.ps_availqty,>,7607#191177
orders o##o.o_orderdate,>,'1993-02-09',o.o_orderkey,<,5164466,o.o_totalprice,<,469532.63#1074158
lineitem l##l.l_discount,>,0.04,l.l_quantity,>,23#1767987
region r##r.r_regionkey,=,0#1
lineitem l##l.l_extendedprice,>,63949.65#942129
region r##r.r_regionkey,=,1#1
customer c##c.c_custkey,>,56611#93389
supplier s##s.s_suppkey,=,1948#1
partsupp ps##ps.ps_supplycost,=,175.07#8
region r##r.r_regionkey,>,0#4
nation n##n.n_nationkey,<,16#16
nation n##n.n_nationkey,>,1#23
nation n##n.n_nationkey,=,2#1
partsupp ps##ps.ps_availqty,=,4506#75
partsupp ps##ps.ps_supplycost,>,605.82,ps.ps_availqty,=,1875#32
customer c##c.c_acctbal,<,2728.25,c.c_custkey,<,104525#35683
orders o##o.o_orderkey,<,5579330,o.o_totalprice,<,187213.08,o.o_orderdate,=,'1997-04-26'#404
nation n##n.n_nationkey,=,13#1
nation n##n.n_nationkey,>,1#23
partsupp ps##ps.ps_supplycost,<,873.73#699191
